file,stratum,camera,sampleFormat,width,height,onDiskCodec,rawBytes,zlib+sh(max).bytes,zlib+sh(max).encMs,zlib+sh(max).decMs,lz4hc+sh.bytes,lz4hc+sh.encMs,lz4hc+sh.decMs,zstd+sh(1).bytes,zstd+sh(1).encMs,zstd+sh(1).decMs,zstd+sh(3).bytes,zstd+sh(3).encMs,zstd+sh(3).decMs,zstd+sh(9).bytes,zstd+sh(9).encMs,zstd+sh(9).decMs,zstd+sh(15).bytes,zstd+sh(15).encMs,zstd+sh(15).decMs,zstd+sh(19).bytes,zstd+sh(19).encMs,zstd+sh(19).decMs,zstd+sh(22).bytes,zstd+sh(22).encMs,zstd+sh(22).decMs
112  M101  L-L  60x1  Z183G053O10@-20.0C  APM107R@531+02.8C  F27793@+05.2C  S099.4  (2020-04-12  01-36-25 AM  SGP).xisf,light-sub,Z183,UInt16,5496,3672,zlib+sh,40362624,14844713,15897.2,75.4,21779912,1318.1,32.5,14270665,161.7,75.8,14604275,249.8,91.4,14670745,797.6,80.0,14198878,8309.3,51.0,13103575,20649.5,45.2,13095599,21204.4,47.3
011  CygnusLoop P15 Stars  L-R  60x2  Z183G000O10@-10.0C  APM107R@531+07.9C  F19943@+10.0C  S274.3  (2026-05-31  02-43-32 AM  NINA).xisf,light-sub,Z183,UInt16,2744,1836,zlib+sh,10075968,2982686,305.6,15.6,3867947,162.8,10.3,2666194,20.0,9.6,2844543,29.4,11.5,2875479,104.9,14.8,2869517,574.3,11.0,2654169,1491.1,10.0,2641792,2909.5,10.1
002  Markarians Chain  L-B  300x1  Z183G053O10@-20.0C  APM107R@531-02.3C  F32179@+00.5C  S173.1  (2019-03-19  05-03-05 AM  SGP).xisf,light-sub,Z183,UInt16,5496,3672,zlib+sh,40362624,18469381,6839.8,76.9,25128758,1203.1,37.0,17065559,108.3,46.8,18025565,171.8,58.0,18055721,727.4,54.5,17691426,7886.7,55.5,16486203,18030.9,42.9,16481395,21430.9,44.8
012  CygnusLoop P01  L-O  300x2  Z183G111O10@-10.0C  APM107R@531+17.6C  F25519@+19.2C  S275.6  (2025-08-27  08-45-41 PM  NINA).xisf,light-sub,Z183,UInt16,2744,1836,zlib+sh,10075968,3740519,277.4,20.4,5076239,157.6,7.3,3507412,15.8,10.0,3512935,14.8,13.6,3521708,74.4,10.2,3534345,357.3,10.0,3469541,1437.8,10.1,3458056,2639.4,10.4
084  LDN 1235  L-L  600x1  Z183G000O10@-10.0C  APM107R@531+13.9C  F33803@+15.6C  S175.0  (2024-08-23  02-49-10 AM  NINA).xisf,light-sub,Z183,UInt16,5496,3672,lz4hc+sh,40362624,17625278,7868.5,84.1,24288855,1193.7,30.6,16582770,109.3,39.7,17069922,160.7,48.4,17286384,724.8,57.4,16827875,7969.8,61.0,15663873,18505.0,49.0,15652781,20500.9,53.3
012  M63 Stars  L-R  30x1  Z183G000O10@-10.0C  APM107R@531+24.7C  F36988@+26.1C  S000.0  (2024-06-19  10-12-48 PM  NINA).xisf,light-sub,Z183,UInt16,5496,3672,zlib+sh,40362624,10975248,22276.0,68.8,17218707,1664.3,30.3,11241525,109.4,53.4,12316367,128.2,52.2,11409346,806.1,56.4,10802274,9613.8,52.1,9693758,19309.3,39.2,9693695,22566.7,47.6
078  M31-TL  L-L  90x1  Z533G100O50@-10.0C  APM107R@531+13.9C  F37965@+16.0C  S267.9  (2021-09-04  01-18-12 AM  SGP).xisf,light-sub,Z533,UInt16,3008,3008,zlib+sh,18096128,7931155,3399.3,35.7,11037800,426.9,11.7,8212214,43.8,25.7,8200784,34.0,27.4,7960717,168.5,25.2,7779799,1617.5,23.7,7616408,4667.6,19.9,7616407,4711.6,16.8
023  M63  L-B  300x1  Z183G000O10@-10.0C  APM107R@531+01.3C  F25000@+04.5C  S000.0  (2025-03-08  11-38-10 PM  NINA).xisf,light-sub,Z183,UInt16,5496,3672,zlib+sh,40362624,14541916,10352.0,59.9,20859089,1078.8,29.5,14165022,85.3,38.3,14506652,134.6,44.1,14456500,671.0,52.4,13966168,6132.9,43.7,12779300,17846.8,40.3,12776649,20145.0,40.0
029  M31-Center  L-B  30x1  Z183G054O10@-20.0C  APM107R@531+19.1C  F83879@+21.3C  S039.9  (2018-07-10  02-03-14 AM  SGP).xisf,light-sub,Z183,UInt16,5496,3672,zlib+sh,40362624,11457708,8750.8,51.7,16100920,1035.0,25.8,11038718,79.5,37.7,12386426,150.8,49.5,11650277,772.4,41.6,11300758,5651.8,50.0,10048569,15063.3,28.9,10039185,17697.0,30.6
047  IC443  L-O  600x1  Z183G111O10@-20.0C  APM107R@531-00.5C  F22854@+03.1C  S015.0  (2022-11-22  05-21-43 AM  NINA).xisf,light-sub,Z183,UInt16,5496,3672,zlib+sh,40362624,14663566,14008.5,59.2,21397977,1125.3,32.4,14191688,84.2,36.6,14550042,136.3,43.0,14531331,688.1,46.5,14059677,7860.8,41.9,12941641,18986.9,39.7,12932314,20823.0,40.3
